12:41 am	2002-07-08	Work	95		
12:44 am	2002-07-08	Affair	100		
01:08 am	2002-07-08	Prebed	100		
01:21 am	2002-07-08	Soul	100		
08:20 am	2002-07-08	Sleep	95		
08:30 am	2002-07-08	Morning	100		
08:49 am	2002-07-08	Study	100		
09:17 am	2002-07-08	Morning	90		
09:27 am	2002-07-08	Comp	95		
12:02 pm	2002-07-08	Work	80		
12:28 pm	2002-07-08	Noon	100		
02:36 pm	2002-07-08	Work	70	5 10	
03:27 pm	2002-07-08	Waste	100		拿东西
06:03 pm	2002-07-08	Work	50		杀毒
07:13 pm	2002-07-08	Evening	80		
09:58 pm	2002-07-08	Work	70	8 15	
10:20 pm	2002-07-08	Affair	100		
10:33 pm	2002-07-08	Study	90		
11:12 pm	2002-07-08	Iris	95		
11:37 pm	2002-07-08	Prebed	100		
11:47 pm	2002-07-08	Soul	100		
12:14 am	2002-07-09	Waste	100		睡不着
07:39 am	2002-07-09	Sleep	90	2 2 2	
08:04 am	2002-07-09	Morning	100		
11:27 am	2002-07-09	Affair	100		
11:50 am	2002-07-09	Noon	100		
01:52 pm	2002-07-09	Affair	100		
03:01 pm	2002-07-09	Waste	100		
05:42 pm	2002-07-09	Work	95	4	
06:33 pm	2002-07-09	Evening	85		
06:55 pm	2002-07-09	Affair	100		
09:49 pm	2002-07-09	Work	80		
10:19 pm	2002-07-09	Affair	100		
10:54 pm	2002-07-09	Study	80		
11:26 pm	2002-07-09	Prebed	100		
12:37 am	2002-07-10	Games	100		
12:40 am	2002-07-10	Prebed	100		
07:49 am	2002-07-10	Sleep	95		
08:00 am	2002-07-10	Morning	100		
09:11 am	2002-07-10	Study	80	4	
09:30 am	2002-07-10	Affair	100		
10:03 am	2002-07-10	Comp	100		
11:09 am	2002-07-10	Work	90		
11:44 am	2002-07-10	Noon	100		
12:13 pm	2002-07-10	Comp	100		
12:38 pm	2002-07-10	Work	100		
01:25 pm	2002-07-10	Comp	100		
04:43 pm	2002-07-10	Work	80	7	
04:50 pm	2002-07-10	Comp	100		
06:07 pm	2002-07-10	Rest	100		
06:31 pm	2002-07-10	Evening	100		
07:45 pm	2002-07-10	Comp	100		
08:10 pm	2002-07-10	Comp	100		
09:55 pm	2002-07-10	Work	50		
10:21 pm	2002-07-10	Prebed	100		
10:59 pm	2002-07-10	Comp	100		
12:29 am	2002-07-11	Work	90		
02:28 am	2002-07-11	Games	100		
06:29 am	2002-07-11	Sleep	95		
06:59 am	2002-07-11	Rest	100		xu tel
07:21 am	2002-07-11	Waste	100		
07:57 am	2002-07-11	Morning	100		
08:08 am	2002-07-11	Comp	100		
08:53 am	2002-07-11	Study	80		
09:54 am	2002-07-11	Games	100		
12:29 pm	2002-07-11	Work	90	11	
12:58 pm	2002-07-11	Noon	100		
03:49 pm	2002-07-11	Work	80		
04:14 pm	2002-07-11	Affair	100		
05:43 pm	2002-07-11	Work	70		
05:46 pm	2002-07-11	Affair	100		
06:19 pm	2002-07-11	Evening	100		
07:17 pm	2002-07-11	Comp	100		
07:46 pm	2002-07-11	Affair	100		
09:31 pm	2002-07-11	Comp	100		
12:44 am	2002-07-12	Games	100		
01:17 am	2002-07-12	Prebed	100		
08:22 am	2002-07-12	Sleep	90		
08:27 am	2002-07-12	Morning	100		
08:57 am	2002-07-12	Study	90		
09:07 am	2002-07-12	Comp	100		
09:40 am	2002-07-12	Affair	100		
10:45 am	2002-07-12	Comp	80		
11:06 am	2002-07-12	Work	80		
11:42 am	2002-07-12	Noon	100		
12:45 pm	2002-07-12	Comp	100		
05:34 pm	2002-07-12	Work	70		
06:26 pm	2002-07-12	Evening	100		
09:31 pm	2002-07-12	Work	80		
09:59 pm	2002-07-12	Rest	100		
10:05 pm	2002-07-12	Study	100		
10:39 pm	2002-07-12	Iris	95	4	
11:06 pm	2002-07-12	Study	90		
11:38 pm	2002-07-12	Prebed	100		
12:06 am	2002-07-13	Games	100		
12:11 am	2002-07-13	Soul	100		
07:22 am	2002-07-13	Sleep	90		
07:28 am	2002-07-13	Morning	100		
07:43 am	2002-07-13	Study	100		
08:33 am	2002-07-13	Morning	100		
10:31 am	2002-07-13	Iris	90	4	
10:39 am	2002-07-13	Rest	100		
11:49 am	2002-07-13	Iris	90	5	
12:11 pm	2002-07-13	Study	90		
01:26 pm	2002-07-13	Noon	100		
01:57 pm	2002-07-13	Waste	100		
04:26 pm	2002-07-13	Study	90		讲座
05:01 pm	2002-07-13	Rest	80		
05:06 pm	2002-07-13	Waste	100		
05:16 pm	2002-07-13	Affair	100		
06:05 pm	2002-07-13	Iris	70	5	
07:00 pm	2002-07-13	Evening	100		
07:08 pm	2002-07-13	Study	100		
07:38 pm	2002-07-13	Iris	60		
09:26 pm	2002-07-13	Games	100		
09:40 pm	2002-07-13	Rest	100		
02:27 am	2002-07-14	Games	100		
09:54 am	2002-07-14	Sleep	95		
10:16 am	2002-07-14	Morning	100		
10:41 am	2002-07-14	Study	80		
12:04 pm	2002-07-14	Noon	100		
05:10 pm	2002-07-14	Work	85		
05:41 pm	2002-07-14	Affair	100		
06:10 pm	2002-07-14	Evening	100		
06:43 pm	2002-07-14	Iris	80		
06:57 pm	2002-07-14	Sleep	80		
08:21 pm	2002-07-14	Iris	90		
09:37 pm	2002-07-14	Games	100		
09:55 pm	2002-07-14	Rest	100		
10:03 pm	2002-07-14	Study	90		
01:48 am	2002-07-15	Games	100		
09:17 am	2002-07-15	Sleep	90		
09:45 am	2002-07-15	Morning	100		
11:16 am	2002-07-15	Iris	100	4	
11:58 am	2002-07-15	Noon	100		
12:51 pm	2002-07-15	Games	100		
